标准岗位,标准城市,技能,出现岗位数,岗位内出现率
Python开发工程师,深圳,SQL,22,25.9%
数据分析师,上海,统计分析,22,12.2%
数据分析师,北京,Power BI,22,12.2%
数据分析师,重庆,Python,22,56.4%
数据开发工程师,北京,数据建模,22,32.4%
数据开发工程师,广州,数据仓库,22,53.7%
数据开发工程师,深圳,Flink,22,37.9%
Python开发工程师,上海,Redis,21,31.8%
Python开发工程师,北京,FastAPI,21,22.8%
大数据开发工程师,广州,Hive,21,60.0%
大数据开发工程师,广州,数据仓库,21,60.0%
数据分析师,北京,数据挖掘,21,11.7%
数据开发工程师,广州,Hadoop,21,51.2%
数据开发工程师,杭州,SQL,21,60.0%
数据开发工程师,武汉,SQL,21,63.6%
算法工程师,上海,Spark,21,3.1%
算法工程师,北京,LangChain,21,3.8%
算法工程师,广州,NLP,21,6.4%
算法工程师,西安,Linux,21,12.6%
Python开发工程师,上海,Django,20,30.3%
Python开发工程师,深圳,FastAPI,20,23.5%
Python开发工程师,深圳,Redis,20,23.5%
Python开发工程师,西安,Flask,20,44.4%
大数据开发工程师,北京,Kafka,20,37.7%
大数据开发工程师,广州,Python,20,57.1%
大数据开发工程师,西安,Spark,20,66.7%
数据分析师,上海,数据挖掘,20,11.1%
数据分析师,南京,Excel,20,33.3%
数据开发工程师,上海,数据建模,20,24.4%
数据开发工程师,北京,Oracle,20,29.4%
数据开发工程师,南京,SQL,20,57.1%
算法工程师,上海,SQL,20,2.9%
算法工程师,北京,scikit-learn,20,3.6%
算法工程师,广州,Java,20,6.1%
算法工程师,西安,大语言模型,20,12.0%
算法工程师,重庆,Linux,20,16.4%
Python开发工程师,北京,Git,19,20.7%
Python开发工程师,南京,Python,19,100.0%
Python开发工程师,武汉,Python,19,100.0%
Python开发工程师,深圳,Django,19,22.4%
大数据开发工程师,北京,Scala,19,35.8%
数据分析师,北京,机器学习,19,10.6%
数据分析师,广州,数据可视化,19,13.5%
数据分析师,成都,R,19,21.1%
数据分析师,杭州,R,19,22.4%
数据开发工程师,上海,Linux,19,23.2%
数据开发工程师,上海,Oracle,19,23.2%
数据开发工程师,广州,ETL,19,46.3%
数据开发工程师,广州,Spark,19,46.3%
数据开发工程师,成都,SQL,19,65.5%
数据开发工程师,杭州,数据仓库,19,54.3%
算法工程师,杭州,RAG,19,5.4%
算法工程师,西安,Java,19,11.4%
Python开发工程师,北京,Java,18,19.6%
Python开发工程师,北京,PostgreSQL,18,19.6%
Python开发工程师,北京,机器学习,18,19.6%
Python开发工程师,深圳,PostgreSQL,18,21.2%
大数据开发工程师,上海,SQL,18,58.1%
大数据开发工程师,广州,Flink,18,51.4%
大数据开发工程师,深圳,数据建模,18,41.9%
数据分析师,北京,数据治理,18,10.0%
数据分析师,广州,Power BI,18,12.8%
数据分析师,杭州,Tableau,18,21.2%
数据开发工程师,北京,Linux,18,26.5%
数据开发工程师,深圳,ETL,18,31.0%
数据开发工程师,西安,Python,18,66.7%
算法工程师,北京,NumPy,18,3.2%
算法工程师,成都,NLP,18,7.0%
算法工程师,重庆,Java,18,14.8%
Python开发工程师,深圳,Git,17,20.0%
大数据开发工程师,西安,Hive,17,56.7%
大数据开发工程师,西安,Java,17,56.7%
数据分析师,广州,Tableau,17,12.1%
数据分析师,重庆,Excel,17,43.6%
数据开发工程师,武汉,Oracle,17,51.5%
数据开发工程师,深圳,Oracle,17,29.3%
算法工程师,深圳,Git,17,2.6%
算法工程师,西安,计算机视觉,17,10.2%
Python开发工程师,北京,SQL,16,17.4%
Python开发工程师,广州,Linux,16,48.5%
Python开发工程师,西安,Linux,16,35.6%
大数据开发工程师,武汉,SQL,16,80.0%
大数据开发工程师,西安,Flink,16,53.3%
