标准岗位,标准城市,技能,出现岗位数,岗位内出现率
大数据开发工程师,成都,数据仓库,8,57.1%
大数据开发工程师,武汉,Java,8,40.0%
大数据开发工程师,武汉,Kafka,8,40.0%
大数据开发工程师,武汉,Python,8,40.0%
大数据开发工程师,深圳,Linux,8,18.6%
大数据开发工程师,西安,Kafka,8,26.7%
大数据开发工程师,重庆,Spark,8,72.7%
数据仓库工程师,上海,SQL,8,100.0%
数据分析师,上海,Hadoop,8,4.4%
数据分析师,南京,Power BI,8,13.3%
数据分析师,广州,FineBI,8,5.7%
数据分析师,广州,数据建模,8,5.7%
数据分析师,成都,MySQL,8,8.9%
数据分析师,成都,数据挖掘,8,8.9%
数据分析师,杭州,数据挖掘,8,9.4%
